task,gsr_x_mean,gsr_x_std,gsr_x_min,gsr_x_max,gsr_y_mean,gsr_y_std,gsr_y_min,gsr_y_max,dvars_vstd_mean,dvars_vstd_std,dvars_vstd_min,dvars_vstd_max,fd_mean_mean,fd_mean_std,fd_mean_min,fd_mean_max,tsnr_mean,tsnr_std,tsnr_min,tsnr_max,snr_mean,snr_std,snr_min,snr_max
ANT,-0.0045177450482863325,0.013550890737494112,-0.07997975498437881,0.022490620613098145,0.03816285649708544,0.020542606765418314,0.011034270748496056,0.19072343409061432,0.9968713443915386,0.03564384959455512,0.908230133900184,1.222322565194086,0.10263862853307158,0.053694446615170574,0.03822021121881963,0.3333461534398337,38.22658999149616,5.733058325720672,22.61484718322754,51.58592224121094,3.268790471051557,0.3908222228648843,2.202882921805057,4.119255893298856
CCTHot,-0.004397442914712471,0.012120485955035004,-0.06166085973381996,0.027215199545025826,0.037083595797841276,0.014573052577692801,0.011032884009182453,0.11757352203130722,0.9888528857798204,0.06076143294867083,0.8910123283566419,1.4136271765217392,0.11613935486202344,0.07685444992786156,0.03134667159803268,0.5249371066522032,34.96583519341811,5.913934397772144,16.023395538330078,46.576087951660156,3.247412686056557,0.3699213146943325,2.2029508660490453,4.084193402645131
discountFix,-0.004972792205681066,0.013216448314594021,-0.08278083801269531,0.02467522956430912,0.03963530967825825,0.01880533708036893,0.015398718416690826,0.18394675850868225,0.9786973960730502,0.02549683237302053,0.8642051835676244,1.0981239007934893,0.11337198313722668,0.06062741576796104,0.036948024899672666,0.33931459081938026,34.74134324823768,5.906609213026829,14.753166198730469,51.16474151611328,3.2934066723327446,0.3548739027080673,2.3196608565076535,4.237742084576862
DPX,-0.005389560366053887,0.009952525839505417,-0.02696598507463932,0.020194336771965027,0.03837910277518229,0.012859917445257309,0.012079938314855099,0.07611057907342911,0.9667249720183733,0.031152909702624614,0.7767010269265634,1.0336516579762998,0.12016473300799796,0.08298181580230513,0.04432248634815463,0.5458300754748318,33.10754389029283,5.721428208366811,13.922908782958984,43.40454864501953,3.3021111650048907,0.3544256027698563,2.3178812632151775,4.26715708799329
motorSelectiveStop,-0.005356461292276868,0.01350377784960441,-0.08272607624530792,0.02607600949704647,0.03940404276585295,0.019344037378488763,0.012065033428370953,0.1862473040819168,0.9745265043175303,0.025765436601537423,0.8792616477924722,1.0678838576853726,0.11194694599069306,0.05702755679896159,0.03703154447018042,0.29881024552547847,34.32565329415458,5.8985446805190085,21.343284606933594,49.95185852050781,3.2979596544107723,0.35831730712242543,2.343309415141522,4.236891246341862
stroop,-0.004215802782430098,0.010491981385467222,-0.026320431381464005,0.025001801550388336,0.03791110328613566,0.012526535450168769,0.012057595886290073,0.07229878753423691,1.0098535160282505,0.05781593732701904,0.9597906499691359,1.5029602917455618,0.09888381012657832,0.0629515672741659,0.03850664726947499,0.4838509478494967,42.35115904074449,6.089636085279434,25.6732120513916,53.60670471191406,3.309979724973693,0.3464241505907327,2.355482602705199,4.206804031071388
stopSignal,-0.003947786838572776,0.01225028025243276,-0.06048700958490372,0.02571840211749077,0.036766070019558214,0.014985181920181188,0.010825881734490395,0.12925446033477783,0.9907866293547948,0.02414879855108902,0.8842168121230161,1.1113006008187145,0.10412156267459233,0.06481612242458053,0.031270998218333484,0.4167916786974378,39.30210559167595,6.163378370368983,16.456850051879883,54.020015716552734,3.2708902554042982,0.3712337281271439,2.2021830112481426,4.082191019925851
surveyMedley,-0.005076523977410174,0.012440096393479153,-0.06753092259168625,0.033202290534973145,0.039247758337296546,0.01996787217000369,0.012518939562141895,0.19909924268722534,0.9952895881122511,0.021785103907712693,0.9326707016472537,1.0837114504804266,0.10951047688860892,0.07599638217532766,0.03081512162543204,0.5950296691823314,38.93204300220196,6.007229113510478,22.168079376220703,54.96642303466797,3.2970061536764828,0.3623008028904889,2.110779222371553,4.265769424308629
twoByTwo,-0.004718038986283888,0.014023731101919094,-0.079851895570755,0.022304531186819077,0.038346572152434664,0.019987408437511373,0.010530170053243637,0.1882215440273285,0.9735536269539519,0.023258913875171424,0.8700545249173935,1.0822617033465733,0.10602090292464074,0.051988537567179076,0.03846833829689769,0.3679087071128094,34.57816386000018,5.218376854304983,18.757287979125977,45.68634033203125,3.2591236464515667,0.37931775888388536,2.253472422276469,4.133492262214002
WATT3,-0.004614803777402702,0.01196003708743564,-0.06337571144104004,0.022344622761011124,0.03675137817093702,0.01378714992608032,0.011238928884267807,0.10505189746618271,0.9888384874903471,0.021501662567593123,0.9202628291739556,1.1047922385581401,0.1082312414232377,0.06289191662977789,0.037869586542603514,0.5576953915402998,36.91286473853566,5.60213332009786,12.883880615234375,47.48919677734375,3.2602342845601298,0.3648230723862003,2.265101930563083,4.0965957709614145
rest,-0.0050114657454132785,0.010719159217869442,-0.05150417238473892,0.02614380605518818,0.03683164460971108,0.01331144021707104,0.010701140388846397,0.10333410650491714,0.9844450099282651,0.025965266330069632,0.9184715853802495,1.2425123020141828,0.09169047182335896,0.0380394718782312,0.029609343788462885,0.2508955761749524,37.820500715723576,5.07113391257265,20.52728843688965,53.00101852416992,3.2894751814227146,0.36119723756079386,2.2533129725261904,4.304211931109092
